product_description,store,Sum_dollar_sales,Per_Female_21,Per_male_21,Per_age_21_below,Per_age_22_34,Per_age_35_44,per_age_45_54,per_age_55_64,Per_age_65_above,Per_income_low,Per_income_mid,Per_income_High,Per_asian_21_plus,Per_Hisp_21_plus,Per_AFAM_21_plus,Per_white_21_plus,store_zip_code,Total_Sales_in_the_TA,Product_dollar_sales,Cumm_Sales,Sales_contribution,target_variable
AJ BUTTERMILK PANCAKE MIX,161,571.54,0.567765249,0.432234751,0.322368421,0.194742743,0.129189285,0.136977814,0.115618362,9.56E-02,0.183059948,0.167954921,5.04E-03,4.02E-02,4.97E-02,0.533897805,6.34E-02,30274,571.54,95924.56,57863.85,0.60322247,1
AJ BUTTERMILK PANCAKE MIX,74,561.84,0.554595444,0.445404556,0.304447601,0.158780461,0.126288566,0.140567515,0.130113285,0.137544166,0.106363603,0.220376644,3.88E-02,1.69E-02,4.57E-02,0.447564929,0.19265654,30013,561.84,95924.56,58425.69,0.609079573,1
AJ BUTTERMILK PANCAKE MIX,110,304.11,0.515753456,0.484246544,0.249840652,0.160054437,0.124412135,0.155162018,0.155937225,0.155713277,6.59E-02,0.231011731,7.93E-02,5.00E-02,4.92E-02,9.44E-02,0.573911695,30066,555.17,95924.56,58980.86,0.614867141,1
AJ BUTTERMILK PANCAKE MIX,201,251.06,0.515753456,0.484246544,0.249840652,0.160054437,0.124412135,0.155162018,0.155937225,0.155713277,6.59E-02,0.231011731,7.93E-02,5.00E-02,4.92E-02,9.44E-02,0.573911695,30066,555.17,95924.56,59536.03,0.62065471,1
AJ BUTTERMILK PANCAKE MIX,217,240.88,0.518198562,0.481801438,0.271716914,0.146732882,0.121279382,0.151076265,0.150405595,0.160082397,8.28E-02,0.208705927,4.72E-02,0.110213337,0.113917987,0.127155723,0.423096576,30047,549.81,95924.56,60085.84,0.626386402,1
AJ BUTTERMILK PANCAKE MIX,91,308.93,0.518198562,0.481801438,0.271716914,0.146732882,0.121279382,0.151076265,0.150405595,0.160082397,8.28E-02,0.208705927,4.72E-02,0.110213337,0.113917987,0.127155723,0.423096576,30047,549.81,95924.56,60635.65,0.632118094,1
AJ BUTTERMILK PANCAKE MIX,210,289.51,0.51836304,0.48163696,0.303859728,0.149326903,0.139729484,0.16333179,0.12166845,0.118330911,6.55E-02,0.20916306,6.33E-02,2.24E-02,4.74E-02,0.109931173,0.532728637,30101,549.53,95924.56,61185.18,0.637846866,1
AJ BUTTERMILK PANCAKE MIX,216,260.02,0.51836304,0.48163696,0.303859728,0.149326903,0.139729484,0.16333179,0.12166845,0.118330911,6.55E-02,0.20916306,6.33E-02,2.24E-02,4.74E-02,0.109931173,0.532728637,30101,549.53,95924.56,61734.71,0.643575639,1
AJ BUTTERMILK PANCAKE MIX,259,535.22,0.523233188,0.476766812,0.240841409,0.171442921,0.124143229,0.138649255,0.147069251,0.180571969,0.110907587,0.260547152,3.71E-02,1.68E-02,2.54E-02,9.28E-02,0.624084141,37072,535.22,95924.56,62269.93,0.649155232,1
AJ BUTTERMILK PANCAKE MIX,176,532.28,0.491171287,0.508828713,0.28525619,0.178932179,0.104445819,0.114478114,0.126961222,0.172014934,0.17242722,0.172610458,1.98E-02,1.31E-02,1.43E-02,0.291990197,0.394145537,31061,532.28,95924.56,62802.21,0.654704176,1
